Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region,Urbanicity
"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000.0,3.0,2.0,70.27,67.0,Region XI,Urban
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3.0,3.0,219.3,91.0,NCR,Urban
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",32342000.0,3.0,3.0,247.4,93.0,NCR,Urban
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias",2389000.0,3.0,1.0,50.0,50.0,Region IV-A,Urban
"BIG DISCOUNT (up to 500k)! For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791.0,3.0,2.0,75.0,112.0,Region IV-A,Urban
"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Freya","Longos, Malolos",12069000.0,5.0,3.0,142.0,176.0,Region III,Urban
"2BR 2-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Aguinaldo Highway San Agustin I, Dasmarinas",3267000.0,2.0,2.0,76.18,66.0,Region IV-A,Urban
"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ALICE Model","Alapan II-A, Imus",2292960.0,3.0,1.0,40.0,40.0,Region IV-A,Urban
"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Greta","Longos, Malolos",12902000.0,5.0,3.0,166.0,176.0,Region III,Urban
4-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | AMANDA Model,"Ungka II, Pavia",6379520.0,4.0,3.0,100.0,120.0,Region I,Rural
"Tierra Vista | Crissa 2BR House - Inner Unit for Sale in San Rafael, Bulacan | Futura by Filinvest","San Rafael Estates San Roque, San Rafael",1979000.0,2.0,1.0,38.88,41.4,Region III,Urban
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Corner Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1.0,1.0,44.0,40.0,Region III,Urban
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey End Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1.0,1.0,44.0,40.0,Region III,Urban
"3BR House and Lot for Sale in San Jose, Batangas at PHINMA Maayo San Jose | Salva Premier, 500K Discount Promo + Appliance Bundle!","President Jose P. Laurel Hwy Banaybanay II, San Jose",7400000.0,3.0,3.0,125.0,,Region III,Urban
"RFO 2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Angeli SF","Aningway Sacatihan, Subic",2605000.0,2.0,1.0,42.0,54.0,Region III,Urban
"4BR 2-Storey Single Attached House and Lot for Sale in Compostela, Cebu at Amoa | Asta Model","Tamiao, Compostela",7021000.0,4.0,2.0,82.0,120.0,Region VII,Urban
