Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region
10748000.0,5.0,3.0,166.0,143.0,Region III
26365000.0,3.0,3.0,219.3,90.0,NCR
3025000.0,2.0,1.0,36.0,42.0,Region III
28348000.0,3.0,3.0,219.3,105.0,NCR
9500000.0,4.0,4.0,132.0,66.0,Region IV-A
5705000.0,2.0,2.0,53.0,99.0,Region III
5174000.0,2.0,1.0,46.0,96.0,Region III
2341000.0,1.0,1.0,33.0,70.0,Region III
10413000.0,3.0,2.0,76.0,128.0,Region III
5179000.0,2.0,1.0,46.0,60.0,Region III
6005000.0,2.0,2.0,53.0,88.0,Region III
6200000.0,3.0,2.0,66.0,99.0,Region III
4454000.0,2.0,1.0,40.0,63.0,Region III
4458000.0,2.0,1.0,46.0,63.0,Region III
8915000.0,3.0,2.0,66.0,121.0,Region III
4270000.0,2.0,1.0,46.0,63.0,Region III
4263000.0,2.0,1.0,40.0,63.0,Region III
7503000.0,4.0,3.0,83.0,99.0,Region III
8915000.0,3.0,2.0,66.0,121.0,Region III
4458000.0,2.0,1.0,46.0,63.0,Region III
4454000.0,2.0,1.0,40.0,63.0,Region III
5174000.0,2.0,1.0,46.0,96.0,Region III
4633000.0,2.0,1.0,46.0,60.0,Region III
26393000.0,3.0,3.0,219.3,91.0,NCR
4710000.0,2.0,2.0,72.0,121.0,Region III
2683000.0,2.0,1.0,40.31,50.4,Region VII
28348000.0,3.0,3.0,219.3,105.0,NCR
28376000.0,3.0,3.0,219.3,106.0,NCR
6286000.0,3.0,2.0,66.0,110.0,Region I
6810000.0,3.0,2.0,66.0,146.0,Region III
6756360.0,4.0,3.0,110.0,100.0,Region IV-A
33792000.0,3.0,3.0,247.4,93.0,NCR
26393000.0,3.0,3.0,219.3,91.0,NCR
5700000.0,4.0,3.0,90.0,78.0,Region IV-A
32539000.0,3.0,3.0,247.4,93.0,NCR
28348000.0,3.0,3.0,219.3,105.0,NCR
28776000.0,3.0,3.0,219.3,90.0,NCR
4872000.0,2.0,1.0,50.0,88.0,Region III
6319000.0,3.0,2.0,66.0,99.0,Region III
4315000.0,2.0,1.0,46.0,72.0,Region III
7907000.0,3.0,2.0,66.0,150.0,Region III
7421000.0,5.0,3.0,100.0,121.0,Region III
6087000.0,4.0,3.0,83.0,99.0,Region III
9500000.0,4.0,4.0,132.0,66.0,Region IV-A
28572000.0,3.0,3.0,219.3,103.0,NCR
5776000.0,3.0,2.0,66.0,88.0,Region III
26365000.0,3.0,3.0,219.3,90.0,NCR
3190000.0,3.0,2.0,60.0,80.0,Region III
8277000.0,3.0,2.0,66.0,162.0,Region III
4480180.0,2.0,1.0,40.0,88.0,Region XIII
2224500.0,2.0,1.0,50.0,65.0,Region III
31348000.0,3.0,3.0,247.4,92.0,NCR
9584000.0,5.0,3.0,142.0,132.0,Region III
7618000.0,5.0,3.0,100.0,110.0,Region III
4383000.0,2.0,1.0,40.0,63.0,Region III
7340000.0,4.0,3.0,83.0,146.0,Region III
8000000.0,3.0,2.0,84.0,84.0,Region III
34016000.0,3.0,3.0,247.4,93.0,NCR
2389000.0,3.0,1.0,50.0,50.0,Region IV-A
4928000.0,3.0,1.0,65.0,116.0,Region IV-A
4006000.0,2.0,1.0,53.0,52.0,Region IV-A
10956000.0,5.0,3.0,166.0,143.0,Region III
8686000.0,4.0,3.0,85.0,141.0,Region III
3230000.0,2.0,1.0,36.0,65.0,Region III
5772000.0,2.0,2.0,53.0,89.0,Region III
8732000.0,5.0,3.0,142.0,121.0,Region III
10863000.0,4.0,3.0,85.0,204.0,Region III
2793000.0,2.0,1.0,36.0,42.0,Region III
3309000.0,2.0,1.0,36.0,63.0,Region III
6650000.0,3.0,2.0,66.0,110.0,Region III
5079000.0,2.0,2.0,53.0,88.0,Region III
2698000.0,2.0,1.0,36.0,40.0,Region III
10692000.0,5.0,3.0,97.0,121.0,Region III
4263000.0,2.0,1.0,40.0,60.0,Region III
9500000.0,4.0,4.0,132.0,66.0,Region IV-A
28090000.0,3.0,3.0,219.3,90.0,NCR
7021000.0,4.0,2.0,82.0,120.0,Region VII
5183808.0,3.0,2.0,75.26,80.0,Region III
6924000.0,3.0,2.0,66.0,99.0,Region III
2839149.0,3.0,1.0,45.0,62.0,Region IV-A
43000000.0,4.0,3.0,400.0,350.0,NCR
13000000.0,4.0,2.0,219.0,120.0,NCR
3302000.0,2.0,1.0,40.0,42.0,Region III
4389000.0,2.0,2.0,53.0,70.0,Region VII
11245000.0,5.0,3.0,142.0,176.0,Region III
5282600.0,3.0,2.0,80.0,92.0,Region IV-A
6754000.0,3.0,2.0,66.0,99.0,Region III
10746000.0,3.0,3.0,115.0,121.0,Region IV-A
3198000.0,3.0,2.0,60.0,100.0,Region I
4678200.0,2.0,1.0,62.8,88.0,Region IV-A
27088000.0,3.0,3.0,219.3,90.0,NCR
8237000.0,3.0,2.0,66.0,141.0,Region I
4470800.0,2.0,1.0,40.31,85.0,Region IV-A
5690000.0,3.0,2.0,72.0,100.0,Region IV-A
12684000.0,5.0,3.0,142.0,174.0,Region IV-A
6756360.0,4.0,3.0,110.0,100.0,Region IV-A
28216000.0,3.0,3.0,219.3,90.0,NCR
31111000.0,3.0,3.0,247.4,92.0,NCR
31111000.0,3.0,3.0,247.4,92.0,NCR
26953000.0,3.0,3.0,219.3,91.0,NCR
32539000.0,3.0,3.0,247.4,93.0,NCR
34604000.0,3.0,3.0,247.4,94.0,NCR
26365000.0,3.0,3.0,219.3,90.0,NCR
26365000.0,3.0,3.0,219.3,90.0,NCR
32568000.0,3.0,3.0,247.4,92.0,NCR
5183808.0,3.0,2.0,75.26,80.0,Region III
3528200.0,2.0,1.0,40.31,84.0,Region VII
8463000.0,5.0,3.0,100.0,163.0,Region III
3790000.0,2.0,1.0,40.0,73.0,Region III
6060000.0,3.0,2.0,66.0,95.0,Region III
4058400.0,3.0,2.0,54.0,80.0,Region IV-A
1800000.0,2.0,1.0,46.0,41.0,Region III
8938000.0,5.0,3.0,97.0,145.0,Region III
7056000.0,4.0,3.0,83.0,99.0,Region III
12383000.0,5.0,3.0,166.0,198.0,Region III
11510000.0,5.0,3.0,142.0,202.0,Region III
5406000.0,2.0,2.0,53.0,88.0,Region III
2742000.0,2.0,1.0,36.0,42.0,Region III
10159000.0,5.0,3.0,100.0,176.0,Region III
8228000.0,5.0,3.0,100.0,121.0,Region III
2871000.0,2.0,1.0,36.0,48.0,Region III
5049000.0,2.0,2.0,53.0,50.0,Region VII
3066000.0,2.0,1.0,36.0,63.0,Region III
7650000.0,5.0,3.0,100.0,121.0,Region III
9153000.0,5.0,3.0,100.0,141.0,Region III
4787000.0,2.0,1.0,46.0,64.0,Region III
6497000.0,3.0,2.0,66.0,99.0,Region III
5031000.0,2.0,1.0,50.0,99.0,Region III
5692000.0,4.0,2.0,80.0,100.0,Region IV-A
4058400.0,3.0,2.0,54.0,80.0,Region IV-A
