Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region,Urbanicity
9500000.0,1.3862943611198906,1.0986122886681098,4.969813299576001,4.912654885736052,Region IV-A,Urban
4400000.0,1.0986122886681098,0.6931471805599453,4.146304301152812,4.382026634673881,Region III,Urban
7810000.0,1.6094379124341003,1.0986122886681098,4.605170185988092,4.700480365792417,Region III,Urban
3275000.0,0.6931471805599453,0.0,3.696847623763113,4.361823927356363,Region XI,Urban
1800000.0,0.6931471805599453,0.6931471805599453,3.9512437185814275,3.6888794541139363,Region III,Urban
8428000.0,1.6094379124341003,1.0986122886681098,4.955827057601261,4.795790545596741,Region III,Urban
3565000.0,0.6931471805599453,0.0,3.828641396489095,4.143134726391533,Region V,Rural
28650000.0,1.0986122886681098,1.0986122886681098,5.390440655423842,4.499809670330265,NCR,Urban
3500000.0,1.0986122886681098,0.6931471805599453,4.628789051586725,5.0369526024136295,Region III,Urban
5300000.0,1.0986122886681098,0.6931471805599453,4.252344965204106,4.204692619390966,Region XI,Urban
1800000.0,0.6931471805599453,0.0,3.828641396489095,3.713572066704308,Region III,Urban
7337000.0,1.3862943611198906,1.0986122886681098,4.442651256490317,4.59511985013459,Region III,Urban
45001005.0,1.791759469228055,1.6094379124341003,5.820082930352362,5.857933154483459,NCR,Urban
4080345.0,1.0986122886681098,0.6931471805599453,3.9512437185814275,4.382026634673881,Region I,Rural
10082000.0,1.6094379124341003,1.0986122886681098,4.955827057601261,5.170483995038151,Region III,Urban
1800000.0,0.6931471805599453,0.0,3.828641396489095,3.713572066704308,Region III,Urban
7500000.0,1.3862943611198906,1.0986122886681098,4.77912349311153,5.0106352940962555,Region IV-A,Urban
2292960.0,1.0986122886681098,0.0,3.6888794541139363,3.6888794541139363,Region IV-A,Urban
5251000.0,0.6931471805599453,0.6931471805599453,3.970291913552122,4.477336814478207,Region III,Urban
2258057.0,1.0986122886681098,0.0,3.8066624897703196,4.127134385045092,Region IV-A,Urban
11757000.0,1.6094379124341003,1.0986122886681098,5.111987788356544,5.170483995038151,Region III,Urban
1400000.0,0.6931471805599453,0.0,3.6888794541139363,3.6888794541139363,Region III,Urban
5300000.0,1.0986122886681098,0.6931471805599453,4.252344965204106,4.204692619390966,Region XI,Urban
32342000.0,1.0986122886681098,1.0986122886681098,5.511006459958388,4.532599493153256,NCR,Urban
26393000.0,1.0986122886681098,1.0986122886681098,5.390440655423842,4.51085950651685,NCR,Urban
2389000.0,1.0986122886681098,0.0,3.912023005428146,3.912023005428146,Region IV-A,Urban
12772000.0,1.6094379124341003,1.0986122886681098,5.111987788356544,5.5053315359323625,Region III,Urban
9500000.0,1.3862943611198906,1.0986122886681098,4.969813299576001,4.912654885736052,Region IV-A,Urban
4400000.0,1.0986122886681098,0.6931471805599453,4.146304301152812,4.382026634673881,Region III,Urban
7810000.0,1.6094379124341003,1.0986122886681098,4.605170185988092,4.700480365792417,Region III,Urban
3275000.0,0.6931471805599453,0.0,3.696847623763113,4.361823927356363,Region XI,Urban
1800000.0,0.6931471805599453,0.6931471805599453,3.9512437185814275,3.6888794541139363,Region III,Urban
8428000.0,1.6094379124341003,1.0986122886681098,4.955827057601261,4.795790545596741,Region III,Urban
3565000.0,0.6931471805599453,0.0,3.828641396489095,4.143134726391533,Region V,Rural
28650000.0,1.0986122886681098,1.0986122886681098,5.390440655423842,4.499809670330265,NCR,Urban
3500000.0,1.0986122886681098,0.6931471805599453,4.628789051586725,5.0369526024136295,Region III,Urban
5300000.0,1.0986122886681098,0.6931471805599453,4.252344965204106,4.204692619390966,Region XI,Urban
1800000.0,0.6931471805599453,0.0,3.828641396489095,3.713572066704308,Region III,Urban
7337000.0,1.3862943611198906,1.0986122886681098,4.442651256490317,4.59511985013459,Region III,Urban
45001005.0,1.791759469228055,1.6094379124341003,5.820082930352362,5.857933154483459,NCR,Urban
4080345.0,1.0986122886681098,0.6931471805599453,3.9512437185814275,4.382026634673881,Region I,Rural
3336800.0,1.3862943611198906,0.6931471805599453,4.248495242049359,4.0943445622221,Region IV-A,Urban
10082000.0,1.6094379124341003,1.0986122886681098,4.955827057601261,5.170483995038151,Region III,Urban
1800000.0,0.6931471805599453,0.0,3.828641396489095,3.713572066704308,Region III,Urban
7500000.0,1.3862943611198906,1.0986122886681098,4.77912349311153,5.0106352940962555,Region IV-A,Urban
2292960.0,1.0986122886681098,0.0,3.6888794541139363,3.6888794541139363,Region IV-A,Urban
5251000.0,0.6931471805599453,0.6931471805599453,3.970291913552122,4.477336814478207,Region III,Urban
11757000.0,1.6094379124341003,1.0986122886681098,5.111987788356544,5.170483995038151,Region III,Urban
2258057.0,1.0986122886681098,0.0,3.8066624897703196,4.127134385045092,Region IV-A,Urban
1400000.0,0.6931471805599453,0.0,3.6888794541139363,3.6888794541139363,Region III,Urban
5300000.0,1.0986122886681098,0.6931471805599453,4.252344965204106,4.204692619390966,Region XI,Urban
26393000.0,1.0986122886681098,1.0986122886681098,5.390440655423842,4.51085950651685,NCR,Urban
32342000.0,1.0986122886681098,1.0986122886681098,5.511006459958388,4.532599493153256,NCR,Urban
2389000.0,1.0986122886681098,0.0,3.912023005428146,3.912023005428146,Region IV-A,Urban
5234791.0,1.0986122886681098,0.6931471805599453,4.31748811353631,4.718498871295094,Region IV-A,Urban
12069000.0,1.6094379124341003,1.0986122886681098,4.955827057601261,5.170483995038151,Region III,Urban
3267000.0,0.6931471805599453,0.6931471805599453,4.333098961050458,4.189654742026425,Region IV-A,Urban
